Transactie_Datum,Product,Prijs,Betaalwijze,Naam,Plaats,Staat,Land,Account_Aangemaakt,Laatste_Login
2/1/2009 06:17,Product1,1200,Mastercard,carolina,Basildon,England,United Kingdom,2/1/2009 06:00,2/1/2009 06:08
2/1/2009 04:53,Product1,1200,Visa,Betina,Parkville,MO,United States,2/1/2009 04:42,2/1/2009 07:49
2/1/2009 13:08,Product1,1200,Mastercard,Federica e Andrea,Astoria,OR,United States,1/1/2009 16:21,3/1/2009 12:32
3/1/2009 14:44,Product1,1200,Visa,Gouya,Echuca,Victoria,Australia,25/9/2005 21:13,3/1/2009 14:22
4/1/2009 12:56,Product2,3600,Visa,Gerd W,Cahaba Heights,AL,United States,15/11/2008 15:47,4/1/2009 12:45
4/1/2009 13:19,Product1,1200,Visa,LAURENCE,Mickleton,NJ,United States,24/9/2008 15:19,4/1/2009 13:04
4/1/2009 20:11,Product1,1200,Mastercard,Fleur,Peoria,IL,United States,3/1/2009 09:38,4/1/2009 19:45
2/1/2009 20:09,Product1,1200,Mastercard,adam,Martin,TN,United States,2/1/2009 17:43,4/1/2009 20:01
4/1/2009 13:17,Product1,1200,Mastercard,Renee Elisabeth,Tel Aviv,Tel Aviv,Israel,4/1/2009 13:03,4/1/2009 22:10
4/1/2009 14:11,Product1,1200,Visa,Aidan,Chatou,Ile-de-France,France,3/6/2008 04:22,5/1/2009 01:17
5/1/2009 02:42,Product1,1200,Diners,Stacy,New York,NY,United States,5/1/2009 02:23,5/1/2009 04:59
5/1/2009 05:39,Product1,1200,Amex,Heidi,Eindhoven,Noord-Brabant,Netherlands,5/1/2009 04:55,5/1/2009 08:15
2/1/2009 09:16,Product1,1200,Mastercard,Sean,Shavano Park,TX,United States,2/1/2009 08:32,5/1/2009 09:05
5/1/2009 10:08,Product1,1200,Visa,Georgia,Eagle,ID,United States,11/11/2008 15:53,5/1/2009 10:05
2/1/2009 14:18,Product1,1200,Visa,Richard,Riverside,NJ,United States,9/12/2008 12:07,5/1/2009 11:01
4/1/2009 01:05,Product1,1200,Diners,Leanne,Julianstown,Meath,Ireland,4/1/2009 00:00,5/1/2009 13:36
5/1/2009 11:37,Product1,1200,Visa,Janet,Ottawa,Ontario,Canada,5/1/2009 09:35,5/1/2009 19:24
6/1/2009 05:02,Product1,1200,Diners,barbara,Hyderabad,Andhra Pradesh,India,6/1/2009 02:41,6/1/2009 07:52
6/1/2009 07:45,Product2,3600,Visa,Sabine,London,England,United Kingdom,6/1/2009 07:00,6/1/2009 09:17
2/1/2009 07:35,Product1,1200,Diners,Hani,Salt Lake City,UT,United States,30/12/2008 05:44,6/1/2009 10:52
6/1/2009 12:56,Product1,1200,Visa,Jeremy,Manchester,England,United Kingdom,6/1/2009 10:58,6/1/2009 13:31
1/1/2009 11:05,Product1,1200,Diners,Janis,Ballynora,Cork,Ireland,10/12/2007 12:37,7/1/2009 01:52
5/1/2009 04:10,Product1,1200,Mastercard,Nicola,Roodepoort,Gauteng,South Africa,5/1/2009 02:33,7/1/2009 05:13
6/1/2009 07:18,Product1,1200,Visa,asuman,Chula Vista,CA,United States,6/1/2009 07:07,7/1/2009 07:08
2/1/2009 01:11,Product1,1200,Mastercard,Lena,Kuopio,Ita-Suomen Laani,Finland,31/12/2008 02:48,7/1/2009 10:20
1/1/2009 02:24,Product1,1200,Visa,Lisa,Sugar Land,TX,United States,1/1/2009 01:56,7/1/2009 10:52
7/1/2009 08:08,Product1,1200,Diners,Bryan Kerrene,New York,NY,United States,7/1/2009 07:39,7/1/2009 12:38
2/1/2009 02:57,Product1,1200,Visa,chris,London,England,United Kingdom,3/1/2008 07:23,7/1/2009 13:14
1/1/2009 20:21,Product1,1200,Visa,Maxine,Morton,IL,United States,24/10/2008 06:48,7/1/2009 20:49
8/1/2009 00:42,Product1,1200,Visa,Family,Los Gatos,CA,United States,8/1/2009 00:28,8/1/2009 03:39
8/1/2009 03:56,Product1,1200,Mastercard,Katherine,New York,NY,United States,8/1/2009 03:33,8/1/2009 06:19
8/1/2009 03:16,Product1,1200,Mastercard,Linda,Miami,FL,United States,8/1/2009 03:06,8/1/2009 06:34
8/1/2009 01:59,Product1,1200,Mastercard,SYLVIA,Vesenaz,Geneve,Switzerland,28/11/2007 11:56,8/1/2009 07:20
3/1/2009 09:03,Product1,1200,Diners,Sheila,Brooklyn,NY,United States,3/1/2009 08:47,8/1/2009 10:38
5/1/2009 13:17,Product1,1200,Mastercard,Stephanie,Badhoevedorp,Noord-Holland,Netherlands,5/1/2009 12:45,8/1/2009 11:45
6/1/2009 07:46,Product1,1200,Amex,Kelly,Reston,VA,United States,6/1/2009 07:30,8/1/2009 12:40
5/1/2009 20:00,Product2,3600,Visa,James,Burpengary,Queensland,Australia,10/12/2008 19:53,8/1/2009 17:58
8/1/2009 16:24,Product1,1200,Visa,jennifer,Phoenix,AZ,United States,8/1/2009 15:57,8/1/2009 18:30
9/1/2009 06:39,Product1,1200,Mastercard,Anneli,Houston,TX,United States,9/1/2009 05:09,9/1/2009 07:11
6/1/2009 22:19,Product2,3600,Amex,Ritz,Pittsfield,VT,United States,6/1/2009 12:00,9/1/2009 10:05
6/1/2009 23:00,Product2,3600,Amex,Sylvia,Pittsfield,VT,United States,6/1/2009 12:00,9/1/2009 10:05
7/1/2009 07:44,Product1,1200,Mastercard,Marie,Ball Ground,GA,United States,7/1/2009 05:35,9/1/2009 10:52
3/1/2009 13:24,Product1,1200,Visa,Mehmet Fatih,Helsingor,Frederiksborg,Denmark,3/1/2009 12:47,9/1/2009 11:14
7/1/2009 15:12,Product2,3600,Visa,Anabela,Flossmoor,IL,United States,5/1/2009 19:55,9/1/2009 16:03
7/1/2009 20:15,Product1,1200,Amex,Nicole,Houston,TX,United States,7/1/2009 17:17,9/1/2009 20:02
3/1/2009 10:11,Product2,3600,Visa,Christiane,Delray Beach,FL,United States,3/1/2009 09:27,10/1/2009 09:46
9/1/2009 15:58,Product1,1200,Mastercard,Sari,Newbury,England,United Kingdom,9/1/2009 14:53,10/1/2009 13:16
3/1/2009 13:11,Product1,1200,Mastercard,simone,Kobenhavn,Kobenhavn,Denmark,31/10/2008 00:31,10/1/2009 13:24
10/1/2009 12:57,Product1,1200,Amex,Vanessa,Sandy Springs,GA,United States,7/2/2007 20:16,10/1/2009 14:09
10/1/2009 14:43,Product1,1200,Diners,Anupam,Kinsaley,Dublin,Ireland,9/1/2009 11:38,10/1/2009 14:37
